,Unnamed: 0,Player,Pos,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SquadPass,P_SquadPass,90s,Mins,Value
8,16,Haris Medunjanin,MF,FC Cincinnati,1243.0,1503.0,82.7,27502.0,9284.0,1,3.6,-2.6,42.0,79.0,15.0,3.0,75.0,9517.0,13.06,19.2,1728.0,1
23,36,Ján Greguš,MF,Minnesota,957.0,1155.0,82.9,19181.0,5696.0,5,2.1,2.9,30.0,100.0,9.0,3.0,103.0,7852.0,12.19,17.7,1593.0,1
3,4,Álvaro Medrán,MF,Chicago,1076.0,1388.0,77.5,22143.0,7685.0,3,3.6,-0.6,36.0,130.0,19.0,2.0,144.0,8921.0,12.06,22.1,1989.0,1
5,7,Jack Price,MF,Colorado,920.0,1100.0,83.6,19841.0,5618.0,4,2.0,2.0,29.0,114.0,9.0,3.0,84.0,7686.0,11.97,14.6,1314.0,1
40,64,Diego Chará,MF,Portland,1023.0,1154.0,88.6,20630.0,7242.0,4,1.5,2.5,9.0,122.0,9.0,1.0,109.0,8620.0,11.87,20.0,1800.0,1
43,69,Nicolás Lodeiro,MF,Seattle,1207.0,1580.0,76.4,21524.0,7013.0,6,7.4,-1.4,50.0,148.0,61.0,13.0,162.0,10235.0,11.79,19.8,1782.0,1
7,13,Junior Moreno,MF,D.C. United,962.0,1101.0,87.4,18230.0,5567.0,1,0.6,0.4,14.0,78.0,10.0,2.0,63.0,8418.0,11.43,19.1,1719.0000000000002,1
44,70,Jackson Yueill,MF,San Jose,1097.0,1243.0,88.3,22209.0,5656.0,1,1.7,-0.7,20.0,116.0,6.0,1.0,102.0,9748.0,11.25,20.7,1863.0,1
35,58,Jamiro Monteiro,MF,Philadelphia,908.0,1141.0,79.6,18270.0,5425.0,3,3.0,0.0,44.0,86.0,31.0,4.0,103.0,8095.0,11.22,21.5,1935.0,1
25,41,Dax McCarty,MF,Nashville,912.0,1050.0,86.9,17824.0,5229.0,3,2.8,0.2,28.0,107.0,15.0,1.0,99.0,8301.0,10.99,18.6,1674.0000000000002,1
26,43,Aníbal Godoy,MF,Nashville,900.0,979.0,91.9,19269.0,4862.0,0,0.6,-0.6,10.0,105.0,8.0,1.0,85.0,8301.0,10.84,16.6,1494.0000000000002,1
24,38,Victor Wanyama,MF,Montreal,969.0,1131.0,85.7,19918.0,4987.0,1,0.3,0.7,11.0,101.0,8.0,1.0,83.0,8981.0,10.79,21.0,1890.0,1
42,68,João Paulo Mior,MF,Seattle,1094.0,1310.0,83.5,22797.0,7476.0,3,2.3,0.7,21.0,143.0,20.0,5.0,132.0,10235.0,10.69,16.7,1503.0,1
21,33,Eduard Atuesta,MF,Los Angeles FC,1063.0,1260.0,84.4,20346.0,6072.0,2,1.9,0.1,22.0,140.0,41.0,0.0,145.0,9985.0,10.65,14.7,1323.0,1
13,22,Matías Vera,MF,Houston,921.0,1005.0,91.6,20091.0,4275.0,0,0.5,-0.5,14.0,80.0,3.0,1.0,59.0,9061.0,10.16,18.8,1692.0,1
36,59,Alejandro Bedoya,MF,Philadelphia,820.0,1042.0,78.7,14219.0,4970.0,2,4.1,-2.1,28.0,99.0,25.0,6.0,122.0,8095.0,10.13,20.3,1827.0,1
45,71,Judson,MF,San Jose,935.0,1055.0,88.6,21510.0,4596.0,0,0.0,0.0,2.0,71.0,2.0,0.0,46.0,9748.0,9.59,18.8,1692.0,1
